2026-05-14 01:51:10,400 [INFO] Scrape started | date: 2026-05-13
2026-05-14 01:51:10,401 [INFO] Connecting to 149.154.167.51:443/TcpFull...
2026-05-14 01:51:10,598 [INFO] Connection to 149.154.167.51:443/TcpFull complete!
2026-05-14 01:51:20,430 [INFO] Phone migrated to 4
2026-05-14 01:51:20,634 [INFO] Reconnecting to new data center 4
2026-05-14 01:51:20,948 [INFO] Disconnecting from 149.154.167.51:443/TcpFull...
2026-05-14 01:51:20,948 [INFO] Disconnection from 149.154.167.51:443/TcpFull complete!
2026-05-14 01:51:20,949 [INFO] Connecting to 149.154.167.92:443/TcpFull...
2026-05-14 01:51:22,994 [INFO] Connection to 149.154.167.92:443/TcpFull complete!
2026-05-14 01:55:39,094 [INFO] Telegram client connected
2026-05-14 01:55:39,095 [INFO] Starting scrape: CheMed123
2026-05-14 01:56:15,902 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:16,520 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:17,460 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:17,908 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:18,667 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:18,964 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:19,207 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:19,481 [INFO] Done: CheMed123 — 76 messages
2026-05-14 01:56:21,519 [INFO] Starting scrape: lobelia4cosmetics
2026-05-14 01:56:21,945 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:22,369 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:23,199 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:56:23,924 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
